match_id,date,giornata,team,opponent,is_home,team_score,opp_score,result,n_periods,team_fga,team_fgm,team_fta,team_oreb,team_dreb,team_tov,opp_fga,opp_fgm,opp_fta,opp_oreb,opp_dreb,opp_tov,team_pace,opp_pace,game_pace
53361,08/11/2025,6,Logiman Broni,Geas Sesto San Giovanni,False,58,76,L,4,52.0,22.0,9.0,8.0,24.0,16.0,60.0,28.0,16.0,10.0,20.0,8.0,62.8,65.0,63.9
53362,08/11/2025,6,Dinamo Banco di Sardegna Sassari,La Molisana Magnolia Campobasso,True,68,76,L,4,58.0,23.0,18.0,14.0,24.0,13.0,56.0,28.0,16.0,8.0,23.0,10.0,64.7,65.5,65.1
53362,08/11/2025,6,La Molisana Magnolia Campobasso,Dinamo Banco di Sardegna Sassari,False,76,68,W,4,56.0,28.0,16.0,8.0,23.0,10.0,58.0,23.0,18.0,14.0,24.0,13.0,65.5,64.7,65.1
53363,08/11/2025,6,People Strategy Roseto,O.ME.P.S. Battipaglia,True,68,70,L,4,73.0,27.0,11.0,17.0,30.0,13.0,72.0,30.0,11.0,13.0,32.0,11.0,73.8,74.3,74.0
53363,08/11/2025,6,O.ME.P.S. Battipaglia,People Strategy Roseto,False,70,68,W,4,72.0,30.0,11.0,13.0,32.0,11.0,73.0,27.0,11.0,17.0,30.0,13.0,74.3,73.8,74.0
53364,08/11/2025,6,Alama San Martino di Lupari,RMB Brixia Basket San Paolo,True,62,60,W,4,61.0,22.0,14.0,14.0,35.0,23.0,60.0,24.0,12.0,4.0,28.0,15.0,76.2,76.3,76.2
53364,08/11/2025,6,RMB Brixia Basket San Paolo,Alama San Martino di Lupari,False,60,62,L,4,60.0,24.0,12.0,4.0,28.0,15.0,61.0,22.0,14.0,14.0,35.0,23.0,76.3,76.2,76.2
53365,08/11/2025,6,Famila Wuber Schio,Umana Reyer Venezia,True,68,54,W,4,58.0,25.0,17.0,12.0,29.0,17.0,56.0,19.0,13.0,7.0,23.0,17.0,70.4,71.0,70.7
53365,08/11/2025,6,Umana Reyer Venezia,Famila Wuber Schio,False,54,68,L,4,56.0,19.0,13.0,7.0,23.0,17.0,58.0,25.0,17.0,12.0,29.0,17.0,71.0,70.4,70.7
53366,22/11/2025,7,La Molisana Magnolia Campobasso,People Strategy Roseto,True,69,49,W,4,62.0,27.0,11.0,8.0,33.0,10.0,67.0,19.0,7.0,17.0,28.0,15.0,68.5,67.6,68.0
